eventID,Zone,QuakeProb,Mq,Slip,NumSubfaults
1,java,0.144700E-03,7.500,0.170394E+01,6
2,java,0.144700E-03,7.500,0.170394E+01,6
3,java,0.144700E-03,7.500,0.170394E+01,6
4,java,0.144700E-03,7.500,0.170394E+01,6
5,java,0.144700E-03,7.500,0.170394E+01,6
6,java,0.144700E-03,7.500,0.170394E+01,6
7,java,0.144700E-03,7.500,0.170394E+01,6
8,java,0.144700E-03,7.500,0.170394E+01,6
9,java,0.144700E-03,7.500,0.170394E+01,6
10,java,0.144700E-03,7.500,0.170394E+01,6
11,java,0.144700E-03,7.500,0.170394E+01,6
12,java,0.144700E-03,7.500,0.170394E+01,6
13,java,0.144700E-03,7.500,0.170394E+01,3
14,java,0.144700E-03,7.500,0.170394E+01,6
15,java,0.144700E-03,7.500,0.170394E+01,6
16,java,0.144700E-03,7.500,0.170394E+01,6
17,java,0.144700E-03,7.500,0.170394E+01,6
18,java,0.144700E-03,7.500,0.170394E+01,6
19,java,0.144700E-03,7.500,0.170394E+01,6
20,java,0.144700E-03,7.500,0.170394E+01,6
21,java,0.144700E-03,7.500,0.170394E+01,6
22,java,0.144700E-03,7.500,0.170394E+01,6
23,java,0.144700E-03,7.500,0.170394E+01,6
24,java,0.144700E-03,7.500,0.170394E+01,6
25,java,0.144700E-03,7.500,0.170394E+01,6
26,java,0.144700E-03,7.500,0.170394E+01,3
27,java,0.144700E-03,7.500,0.170394E+01,6
28,java,0.144700E-03,7.500,0.170394E+01,6
29,java,0.144700E-03,7.500,0.170394E+01,6
30,java,0.144700E-03,7.500,0.170394E+01,6
31,java,0.144700E-03,7.500,0.170394E+01,6
32,java,0.144700E-03,7.500,0.170394E+01,6
33,java,0.144700E-03,7.500,0.170394E+01,6
34,java,0.144700E-03,7.500,0.170394E+01,6
35,java,0.144700E-03,7.500,0.170394E+01,6
36,java,0.144700E-03,7.500,0.170394E+01,6
37,java,0.144700E-03,7.500,0.170394E+01,6
38,java,0.144700E-03,7.500,0.170394E+01,6
39,java,0.144700E-03,7.500,0.170394E+01,3
40,java,0.144700E-03,7.500,0.170394E+01,6
41,java,0.144700E-03,7.500,0.170394E+01,6
42,java,0.144700E-03,7.500,0.170394E+01,6
43,java,0.144700E-03,7.500,0.170394E+01,6
44,java,0.144700E-03,7.500,0.170394E+01,6
45,java,0.144700E-03,7.500,0.170394E+01,6
46,java,0.144700E-03,7.500,0.170394E+01,6
47,java,0.144700E-03,7.500,0.170394E+01,6
48,java,0.144700E-03,7.500,0.170394E+01,6
49,java,0.144700E-03,7.500,0.170394E+01,6
50,java,0.144700E-03,7.500,0.170394E+01,6
51,java,0.144700E-03,7.500,0.170394E+01,6
52,java,0.144700E-03,7.500,0.170394E+01,3
53,java,0.144700E-03,7.500,0.170394E+01,6
54,java,0.144700E-03,7.500,0.170394E+01,6
55,java,0.144700E-03,7.500,0.170394E+01,6
56,java,0.144700E-03,7.500,0.170394E+01,6
57,java,0.144700E-03,7.500,0.170394E+01,6
58,java,0.144700E-03,7.500,0.170394E+01,6
59,java,0.144700E-03,7.500,0.170394E+01,6
60,java,0.144700E-03,7.500,0.170394E+01,6
61,java,0.144700E-03,7.500,0.170394E+01,6
62,java,0.144700E-03,7.500,0.170394E+01,6
63,java,0.144700E-03,7.500,0.170394E+01,6
64,java,0.144700E-03,7.500,0.170394E+01,6
65,java,0.144700E-03,7.500,0.170394E+01,3
66,java,0.144700E-03,7.500,0.170394E+01,6
67,java,0.144700E-03,7.500,0.170394E+01,6
68,java,0.144700E-03,7.500,0.170394E+01,6
69,java,0.144700E-03,7.500,0.170394E+01,6
70,java,0.144700E-03,7.500,0.170394E+01,6
71,java,0.144700E-03,7.500,0.170394E+01,6
72,java,0.144700E-03,7.500,0.170394E+01,6
73,java,0.144700E-03,7.500,0.170394E+01,6
74,java,0.144700E-03,7.500,0.170394E+01,6
75,java,0.144700E-03,7.500,0.170394E+01,6
76,java,0.144700E-03,7.500,0.170394E+01,6
77,java,0.144700E-03,7.500,0.170394E+01,6
78,java,0.144700E-03,7.500,0.170394E+01,3
